id,glottocode,name,source,latitude,longitude,elevation,macroarea
2883,kawa1290_02,Ogh Unyjan,er,"-16,1","142,5",49,Australia
2711,kayt1238,Kaytetye,er,"-21,5844",133602,509,Australia
2792,kera1256,Keramin,er,NA,NA,NA,Australia
2937,koka1244,Kukata,er,"-31,2052",136813,193,Australia
2904,kokn1236,Kok Nar,er,-16181,141608,10,Australia
2959,kuka1246,Kukatja,er,"-20,3321",127666,350,Australia
2885,kuku1273,Gugu Wakura,er,"-16,0036",145188,259,Australia
2734,kumb1268,Baanbay,er,"-29,8189",152913,157,Australia
2815,kung1258,Gunggari,er,"-24,2182",143222,177,Australia
2840,kurr1243,Kurrama,er,"-22,2134","117,51",611,Australia
2906,kuth1240,Kuthant,er,"-17,4566",140958,2,Australia
2900,kuuk1238,Kuugu Ya'u,er,"-12,4947",143165,76,Australia
2765,kuun1236,Kungkari,er,"-24,75108713","143,5365228",281,Australia
2779,ladj1234,Ladji-Ladji,er,NA,NA,NA,Australia
2894,lamu1254,Lamalama,er,-14559,143977,1,Australia
2912,leni1238,Linngithigh,er,"-12,771375",141962,6,Australia
2793,lowe1402,Ngayawang,er,NA,NA,NA,Australia
2709,lowe1436,Lower Southern Aranda,er,"-26,3","135,4",185,Australia
2913,luth1234,Luthigh,er,NA,NA,NA,Australia
2780,madh1244,Madhi-Madhi,er,"-34,5","143,5",63,Australia
2769,malg1242,Malkana,er,-26211,114245,11,Australia
2968,maly1234,Malyangapa,er,"-29,43",142,133,Australia
2826,mang1383,Mangala,er,"-18,6597",123769,129,Australia
2817,marg1253,Margany,er,-26789,144892,280,Australia
2841,mart1255,Martuthunira,er,"-20,9294",116607,92,Australia
2830,maya1280,Mayi-Kutuna,er,"-18,1147",140337,26,Australia
2832,mayi1235,Mayi-Yapi,er,"-19,25","140,61",100,Australia
2829,mayi1236,Mayi-Kulan,er,"-18,56","141,46",82,Australia
2928,mbab1239,Mbabaram,er,"-20,1389",143438,403,Australia
2895,mbar1253,Rimanggudinhma,er,-14529,143789,9,Australia
2927,mbar1254,Mbara,er,"-19,29","142,475904",240,Australia
2914,mbiy1238,Mbiywom,er,"-12,89620501","142,2710997",40,Australia
2715,minj1242,Minjungbal,er,NA,NA,NA,Australia
2748,mith1236,Mithaka,er,"-25,13606725","139,598447",90,Australia
2915,mpal1238,Mpalitjanh,er,NA,NA,NA,Australia
2706,mpar1238,Central Arrernte,er,NA,NA,NA,Australia
2856,mudb1240,Mudburra,er,"-16,7694",132329,294,Australia
2888,mulu1243,Muluridji,er,"-17,0601",145329,511,Australia
2720,muru1266,Muruwari,er,"-28,9618",146546,149,Australia
2784,nari1241,Nari Nari,er,NA,NA,NA,Australia
2795,narr1259,Yaraldi,er,"-36,2301",140158,61,Australia
2936,naru1238,Narrungga,er,"-34,69",137535,40,Australia
2910,ndra1239,Ndra'ngith,er,NA,NA,NA,Australia
2962,ngaa1240,Ngaanyatjarra,er,"-25,7514",127602,593,Australia
2837,ngad1258,Mirrniny,er,"-32,02447","124,46601",155,Australia
2990,ngan1296,Nganyaywana,er,-29581,151313,732,Australia
2843,ngar1287,Ngarluma,er,"-20,9235",117203,149,Australia
2857,ngar1288,Ngardi,er,NA,NA,414,Australia
2961,ngar1296,Ngarlawangka,er,"-20,20748","119,30579",32,Australia
2998,ngar1297,Ngarigu,er,"-36,23","149,13",884,Australia
2831,ngaw1240,Mayi-Thakurti,er,"-19,4484",141471,162,Australia
2794,ngin1247,Ngintait,er,NA,NA,NA,Australia
2916,ngko1236,Ngkoth,er,"-12,740575","141,886762",1,Australia
2770,nhan1238,Nhanda,er,"-27,42523643","114,2680442",180,Australia
2755,nhir1234,Nhirrpi,er,NA,NA,NA,Australia
2844,nhuw1239,Nhuwala,er,"-21,38154","115,74542",11,Australia
2846,nija1241,Nyiyaparli,er,"-22,8558",120831,557,Australia
2933,nugu1241,Nukunu,er,"-31,9899",133908,78,Australia
2845,nyam1271,Nyamal,er,"-21,6092",119693,309,Australia
2827,nyan1301,Nyangumarta,er,"-20,6271",121391,331,Australia
2862,nyaw1247,Nyawaygi,er,"-18,8743",146216,67,Australia
2930,oyka1239,Oykangand,er,NA,NA,NA,Australia
